Victim,Date,Category,Description,Scam Alias,Scam Source,
Anonymous , 17 Sep 2023,Internet Love Scam,"On September 15, 2023, I encountered a person named Jeremy, who claimed to be from Hong Kong and working for a Japanese trading company on a business trip to Singapore. He initially messaged me, asking to meet for a translation job, but later admitted he had the wrong number and apologized.
Our conversation evolved into casual chit-chat about life, and he expressed a desire to be friends. We discussed hobbies, but he repeatedly inquired about my relationship status. He eventually shared photos that I later discovered were images of other people, after discussing the situation with friends.
I realized it was a scam on the third day of messaging. Fortunately, I didn't lose any money; I only shared a photo set to disappear after being opened. During our conversation, Jeremy even shared a fake address in Japan as his location and claimed to have made questionable large donations.
I'm sharing this story to raise awareness and prevent similar cases from happening to others.",Name: Jeremy,Contact:,
Anonymous , 17 Sep 2023,Impersonation Scam,"A scammer attempted to video call me via WhatsApp. Normally, I am cautious when I see a call with a ""+"" sign, as it often indicates a potential scam. However, this time, I answered the call because the profile picture on WhatsApp appeared to be from MOM (Ministry of Manpower). Additionally, I was anxiously awaiting the approval of my S-Pass permit renewal, which led me to respond.
Upon answering the video call, I saw the scammer dressed like an immigration officer, wearing a face mask, with a backdrop featuring a MOM tarpaulin. Initially, one scammer asked me to show my IC card, and then they transferred me to another scammer who requested to see my ATM card and passport. They also inquired about my country of origin and my intended return date.
Things took a suspicious turn when they asked for my ATM PIN code and requested confirmation of a notification for changing it, which I initially complied with. However, when they asked me to confirm a notification on my mobile device for accessing my online bank account, I grew suspicious and decided to play along. I pretended that I hadn't received the notification and quickly turned off my mobile phone for a moment.
During this brief pause, I searched Google for information related to the ""+92 scam"" and found an article that confirmed my suspicions: it was indeed a scam. I immediately turned my phone back on to inform my friends via WhatsApp and warn them about the scammer. I also sent a message to the scammer on WhatsApp, calling them out and noting their repeated attempts to call me when my phone was off.
Fortunately, the scammer did not succeed in scamming me further, but I had already revealed my personal information, including my ATM card, passport, and IC. I'm concerned that this information could be misused for illegal activities.
I hope that by sharing my experience, more people will become aware of this type of scam and take precautions.",Name: THE SACAMMER TRIED TO IMPERSONATE AS MOM (MINISTRY OF MANPOWER) OFFICERS,Contact: 923274536615,
Anonymous , 16 Sep 2023,Online Purchase Scam,"The scammer posed as a buyer representing ""Nanyang Polytechnic"" and expressed interest in purchasing high-value goods amounting to SGD 23,000. We requested a purchase order (PO) from Nanyang Polytechnic's official email address, but the scammer claimed urgency and was unwilling to wait. Instead, they fabricated a fake PO and sent it via WhatsApp from the number 914918??. They also provided us with the contact information of a supposed vendor who could supply the items.
Shortly thereafter, the vendor unexpectedly contacted us, claiming to have the goods that a customer was seeking. To add to the deception, the scammer forwarded a fabricated DBS transfer receipt, insisting that the items were needed within a few hours. The fake vendor then pressured us over the phone to send them money to release the goods for the scammer, emphasizing the need for swift action.
Suspicions arose when we realized it was the weekend, and Nanyang Polytechnic does not operate its offices on weekends. Moreover, we understood that we required an official domain-registered email from the polytechnic to our company email. Consequently, we halted the scammer's attempt to defraud us.
 ",Name: nanyang polytechnic noah,Contact: 9149186?,
Nadia Ng , 15 Sep 2023,Online Purchase Scam,"I came across an advertisement link shared by my friend, promoting a great package deal for Bintan Banyan Tree. Intrigued, I clicked on the link from Facebook and inquired for more information via Messenger. The operator provided details about the packages along with some evidence of past bookings and customer comments. To secure my booking for December 23, I needed to make a payment within 20 minutes using PayNow.
After completing the PayNow transaction, I was supposed to receive a booking confirmation. However, 30 minutes passed, and my text messages weren't being delivered. Additionally, I couldn't access the Facebook site; it appeared that I had been blocked.

Regrettably, I fell victim to this scam.",Name: Let’s travel together LCB,Contact: 85856257,
Anonymous , 15 Sep 2023,Job Scam,"Similar to a previously reported scam on this site, I encountered a job scam associated with Palo IT Singapore. Initially, a recruiter contacted me on Telegram, informing me that someone on WhatsApp would provide further details.
The WhatsApp contact then explained the job and offered a monthly salary of $2,000 with a bonus. When I requested the company's name and technical information about how they would ""optimize"" the apps for developers, he inexplicably took an unusually long time to provide answers to these straightforward queries.
Subsequently, he directed me to a landing page (palo-enhan**.com) and added me to a group that had been created just four days ago. Instantly, numerous individuals in the group were discussing the job.
Upon reviewing the terms and conditions on the website, I discovered that it required completing three sets of reviews, totaling 90 reviews (i.e., 30 reviews each).",Name: palo it/enhance,Contact: 93410791,
Anonymous , 14 Sep 2023,Job Scam,"I received a WhatsApp message out of the blue from an unknown Indonesian phone number, saying:

""Hello! I'm Vanessa from GrabJobs company. Can I share some job details with you?""

I immediately blocked the person. Please be cautious of unexpected messages on any platform, such as WhatsApp, Instagram, Telegram, Facebook, or any other platform, providing job information, details, or offers.",Name: Vanessa from grabjobs company,Contact: 62858047398716,
Anonymous , 14 Sep 2023,Investment Scam,"I met Michael on CMB; his username was ""micheal."" He claimed to be a cybersecurity consultant, working from home and renting a condominium in Bukit Timah, driving a Honda HRV.

After a day of messaging on CMB, we switched to WhatsApp. He said he was a Malaysian Chinese and a Singapore PR.

At the start of our conversation, he mentioned he'd been scammed, losing access to his Instagram account. This left him without any social media presence. He later sent a video of himself deleting CMB from his phone, but the recording lacked date, time, and screen-recording icon.

For about two weeks, he called me every night to chat. During one conversation, he said he'd been invited by a client/mentor, a ""director of Hong Leong Bank,"" to participate in a fundraiser for HDB BTO in Tampines. He even shared a video of a BTO along Bedok Reservoir Road. However, he missed the opportunity due to a delayed response.

A few days before our planned meeting, his father had a fall, prompting him to fly back to Kuala Lumpur. Strangely, messages were still being delivered to his phone during his flight.

Later, he mentioned another chance to join a fundraiser, this time for HDB BTO in Tampines Green Opal. He asked if I could take some photos, and I agreed.

Then, he claimed his client/mentor flew to KL to meet him. This person encouraged him to reward me, and he asked for help in obtaining an invitation code for the fundraiser. He explained that with a $500 investment, I could gain $60 within hours, though he couldn't clarify how earnings would be possible if the BTO wasn't completed yet.

The next day, he said he'd received the invitation code from his client/mentor at Hong Leong Bank. When I revealed I'd been scammed before, he became upset, implying I'd kept it from him and was suspicious of him being a scammer.",Name: Michael Chen Kaixuan,Contact:,
Anonymous , 13 Sep 2023,Job Scam,"The same old scam scenario: I was contacted by a ""recruiter"" on Telegram who instructed someone to WhatsApp me for further details. They asked me to complete a set of 30 ratings to boost Play Store ratings. Suddenly, my balance went negative, and I was expected to deposit my own money to continue – quite comical, really. Avoid proceeding at all costs. The website currently in use is https://www.palo-marketi**.com/(Note: Please do not click)

Furthermore, the scammer added me to a group of accomplices, all of whom were sharing fake transfer receipts. He persistently called me, communicating in very poor English, which indicated he might be Malaysian. Other accomplices would also message me to convince me that this job was legitimate.

Never use your own money to deposit into unknown accounts; no legitimate job will require you to do so. You might also risk having your bank accounts frozen. Stay vigilant.",Name: vincent,Contact: 6581100654,
Anonymous , 12 Sep 2023,Job Scam,"Received a text from a +66 Thailand number claiming to be from Indeed Recruitment regarding a job offer. The ""person in charge"" who took over sounded like a Filipino woman claiming to be half Filipino and half Singaporean. When questioned about her accent not sounding Singaporean, she requested money to proceed, which raised suspicions. The link also changed from https://asotools-optimization-work.com to https://asotools-ft-offe**.com (Note: Do not click) after the scam notification. Beware of this scam.",Name: Asotools,Contact: 85440091,
Anonymous , 12 Sep 2023,Impersonation Scam,A fraudulent ICA scammer contacted me from the following number: 84161387. Their accent suggested they were of Chinese.,Name: ICA,Contact: 84161387,
Anonymous , 11 Sep 2023,Impersonation Scam,"Caller claims to be from DBS bank. first from a +1 number, didn't knew these were scams. told me there is a transaction of $963 pending authorisation , used at Shopee when i didn't even have a DBS credit card. He said it could be someone who used my details... and got my FIN number and full name.

CALL GOT DISCONNECTED MIDWAY AND HE CALLED FROM A LOCAL NUMBER.

Given his details as
DBS employee Jackson Tan
EmployeE ID 116618

Then told me a card number (VISA DBS Yuu) which was applied on 28 august at DBS Tampines branch using my FIN /NRIC which I never did.

Then rerouted to the Singapore police department to file a compliant online.
The officer (who claimed to be) asked few questions then asked me to go to an isolated place where I can talk to nobody and he wants to record my statement and it would take 30 mins and i can't talk to anyone in between. I said I’d do it in person and disconnected.","Name: Jackson Tan of DBS , followed by a police officer from cantonment",Contact: 98141943,
Anonymous , 11 Sep 2023,Job Scam,"It began as a job search to cover my university fees. I had been juggling multiple part-time jobs unsuccessfully when I came across a job posting on Instagram. The job was advertised as commission-based, and all I needed to do was use LatitudePay to make purchases, and I would receive a commission. The post emphasized that it was not a scam or illegal activity. The purchases would be made using the company's funds, with only our bank details required.
However, to facilitate this, I had to link my card to the employer's Apple Pay account. Unfortunately, I never received any reimbursements for the purchases made on my card. Furthermore, the employer used my card for personal expenses. Sadly, several of my friends fell victim to the same scheme. I not only lost the money he used but also never received the promised commission.
This all transpired around late July, and I have incurred a loss of nearly a hundred dollars. I am sincerely hoping for your assistance in recovering this money, as even though it may seem like a small amount, I am facing considerable difficulty in paying off my university fees.",Name: titus,Contact: 80134553,
Anonymous , 09 Sep 2023,Impersonation Scam,"I received a call from a number with +65, and the person claimed to be a Malaysian subcontractor I was familiar with. He mentioned that he had changed his number, and the old one was no longer in use. I verified his identity by asking a question only he would know, and I saved his new number.
The following morning, he WhatsApped me a screenshot of a bank account and asked for assistance in updating his phone number on his bank account. I called him and guided him through the update process.
He later called to inform me that the bank needed 12 hours to complete the update and sent me a notification showing that his details had been successfully updated. He then mentioned that he needed to PayNow $2,800 to one of his subcontractors for tiling work, but due to the update, he couldn't. He asked if I could help him by paying $2,800 first, promising to transfer the money back later when his new number was updated.
He provided me with a screenshot containing a phone number (81597931), the recipient's name, and an amount typical for such work. Believing it was legitimate, I called him for an invoice number, which he promptly provided. I unwittingly made the PayNow payment and sent him the screenshot.
A few minutes later, he called again, claiming that one of his friends was supposed to transfer him $7,000 for completed work, but their transfer limit was $3,000. He asked if I could help with the $7,000 transfer. I informed him that I had reached my transfer limit and would need to check with someone else. I hung up.
He sent me an invoice for $9,800 that he supposedly billed to his 'friend,' including a company name, his name ('Lim Chuan Huat'), and a signature. I attempted to video call him for further clarification, but he did not answer. I asked him to answer the video call, and he claimed to be in a hospital with no reception. I requested a photo of himself, but he evaded and said he had no data, inquiring if I knew anyone else who could help.
At this point, I became suspicious and decided to call the number I had used for PayNow (81597???). A recorded voice message stated that the number was unreachable, and I realized I had fallen victim to a scam.
I urge everyone to exercise caution, especially when receiving such calls, and to verify the person's identity through video calls. Don't fall for these scams. Be vigilant and stay safe.",Name: Ah Huat,Contact: 6585742695,
Anonymous , 09 Sep 2023,Impersonation Scam,"Alan N C initially contacted me through Facebook, and we began messaging each other day and night. She claimed to be from Malaysia and had been working in Singapore for five years but didn't have many friends.
We later switched to WhatsApp, and we even set a date to meet. However, just before our planned meeting, she asked for my assistance with her part-time job. It involved helping to generate orders for Cartier, where I would need to transfer money, and then the money would supposedly be rebated.
I found this situation very suspicious and decided not to proceed further. I eventually blocked her.",Name: Alanni,Contact: 81791547,
Anonymous , 09 Sep 2023,Cyber Extortion Scam,"I met Paul on Instagram in late July 2023. He was a cheerful guy who would order fruits for me, encouraging me to stay healthy with vitamins. We became emotionally closer. In late August 2023, he went on a business trip overseas, and everything seemed fine. We missed each other.
However, on September 7-8, he asked me to lend him $50,000, promising a quick return. I explained that I had no money. In response, he threatened to disclose a nude video he had taken of me without my consent on Instagram. Fearing the consequences, I deleted my account.
I have since filed a police report, and an investigation is underway. This incident has instilled fear in me, as it could potentially harm my family, friends, and my career.",Name: paul lee,Contact: 81376919,
Anonymous , 08 Sep 2023,Job Scam,"Scammer added me on Facebook, and we started chatting before moving to WhatsApp. They hinted at wanting a partner and engaged in discussions about interests.
A few days later, the scammer asked for help with a part-time job, claiming it was taking up too much of their time. I initially declined but stayed in contact. Eventually, they asked to meet and brought up the part-time job again.
I decided to take a look, and their request was as follows:
Contact Cartier at +65 8194 8??? via WhatsApp.
An automated message would provide a Cartier product URL.
Take a screenshot and send it.
An automated message would return supposed client details and an account number.
Make a payment through PayNow.
The scammer promised that the money would be returned within minutes.
I did not make the payment and responded to the scammer. They continued trying to persuade me, claiming they had been doing this for two years. This ordeal wasted a few weeks of my time and gave me some false hope, but at least I didn't lose any money.",Name: Jasmine lim - cartier,Contact: 6589158716,
Anonymous , 08 Sep 2023,Impersonation Scam,"I received a call from the number 864213??, and immediately, a friendly voice asked to update his phone number, questioning if I remembered him. I replied that I didn't, explaining that I had lost my SIM card a few times. He introduced himself as Alvin, and when I asked which Alvin, he playfully mentioned that I knew many Alvins. I agreed, and he promised to send me the details via text. However, I never received any details.
After ending the call, I decided to look up the ""remember me"" scam and realized that if I had specified a certain Alvin, he might have continued trying to scam me using that information. Everyone, please be cautious and stay vigilant.",Name: Alvin,Contact: 86421372,
Anonymous , 08 Sep 2023,Impersonation Scam,"Received a call from a local number (does not has +65 PREFIX). i picked UP and keep silent, followed by a beep sound and there was a man with local mandarin accent called me by my surname, telling me he changed his number. i asked who he was but he avoided my question. i doubted this could be scam call, and eventually cut the call pretending there was no phone reception.",Name: not identified,Contact: 92411207,
Anonymous , 08 Sep 2023,Impersonation Scam,"I received a notification about a $963 transaction on my DBS Visa credit card from Shopee. The notification instructed me to press 1 if I had made the transaction and 2 if I hadn't. I chose option 2 and was alarmed. I called a number and got connected to a female voice who identified herself as Jessie Lee, DBS customer staff with Staff ID 483801. I believed it was a genuine call at first, as she asked for my name and FIN number.
However, she advised me to make a police complaint and then connected me to another person who claimed to be Mr. Ho, an investigation officer from the police cantonment building. He asked for my name and my employer's name. He also sent a message on WhatsApp, requesting photos of my IC card (front and back) and my photo for ID confirmation. I was taken aback but complied.
Soon, I realized it was a scam and told them I would go to the police station. They agreed, saying a police officer would come to my location, and then they disconnected the call around 09:30 AM. Fortunately, I hadn't shared any bank card details, but I am concerned about the personal information I sent via WhatsApp.
Please exercise caution and be vigilant!",Name: DBS Bank Ms. Jessie LEE,Contact: 94212405,
Anonymous , 08 Sep 2023,Online Purchase Scam,"I was playing an online game when someone randomly messaged me in-game, expressing interest in purchasing my game account for $300. Despite being aware of various scams, I failed to recognize the red flags in this situation.
The scammer then added me on Line and directed me to visit this website: https://taoyigou.lies.??? (Note: Be careful of link provided) They claimed to have sent $300 for the account through the website, and when I checked, the money was indeed there. However, to retrieve the $300, I was asked to initially top up $1001. Due to an error, I topped up only $1000 (which should have been suspicious, as the recipient's name was of Malay origin), and my account was ""frozen."" I was then instructed to top up an additional $5201 to unfreeze it.
In a daze, I proceeded with the transfer until the bank recognized the transaction and immediately called me. It was at that moment that I finally realized I had fallen victim to a scam. Reading their ""Terms and Conditions,"" I noticed that if the account wasn't unlocked within one day, the funds would be confiscated. I realized that this cycle of unlocking would never end and decided to file a police report. I felt incredibly foolish.
Remember, when something seems too good to be true, it usually is.",Name: MHD T BIN MHD S / MUHAMMAD SHARIL BIN I,Contact: 88377683,
Anonymous , 07 Sep 2023,Cyber Extortion Scam,"I discovered the girl's Instagram ID while using the dating app Bumble. I messaged her on Instagram and, after briefly checking her account, found it to be genuine. We transitioned to Telegram as per her suggestion to chat. She proposed a video call where we both strip, which made me suspicious. However, I believed it was genuine and ended up getting recorded. After the call, she sent me a list of my Instagram followers and threatened to circulate the video if I didn't pay her 5k SGD, attempting to tarnish my image. I refused and blocked her on all platforms, erasing our conversations and refusing to pay. I'm still traumatized by the incident. Be cautious and don't fall for such scams.",Name: Insta user name - coo0789,Contact:,
Anonymous , 07 Sep 2023,Job Scam,"Just to warn everyone:

if anyone else is receiving messages from this particular person or company.

Person claimed that name is Angeline [which i doubt is a real name], which contacted me via whatsapp/telegram

Coming from a company named ""BOOPI? marketing PTE LTD"" with valid UEN [which might be fake as information accessible to public]

Number: +65 8109 4796

Invited me to a group whatsapp with a few members in and talked about the process of how to process works.",Name: Angeline / BOOPIN,Contact:,
Anonymous , 07 Sep 2023,Impersonation Scam,"A call came in without the +65 prefix, and I hesitated to answer it. Eventually, I decided to pick up because the call lacked the +65 prefix. The scammer, who had a Malaysian Chinese accent, claimed to have changed her number in a casual and chirpy tone. I repeatedly asked her for her identity as I didn't know a Yvonne, to which she insisted that we had recently spoken (even though I had no idea who this Yvonne person was). Before hanging up, she mentioned that she would text me (which I plan to ignore).",Name: yvonne,Contact: 80683045,
Anonymous , 07 Sep 2023,Phishing Scam,"MALCOLM LEE (not his real name) called claiming to be from 'POSB' (not the genuine POSB) and alleged that my POSB credit card was overdrawn by $4,200. However, I do not even possess a POSB card. He requested my I.C. number, but I promptly hung up. Please be vigilant and watch out for this scammer's number: 81599893.",Name: Malcolm Lee / POSB,Contact: 81599893,
Anonymous , 07 Sep 2023,Impersonation Scam,"I received a call from the number 9165481?, with the caller claiming to be a ""long-lost friend"" of mine. Since there was no +65 or +44 code, I listened to his conversation in Chinese, expecting to recognize him. However, I couldn't guess his identity.

I realised that it might be a scam call, and wanted to end the call. The caller got angry and started cursing me.

Be wary of unknown phone calls, pls!",Name: Fake friend call,Contact: 9165481?,
Anonymous , 06 Sep 2023,Job Scam,"This is the message that I received that offered fake jobs:-

Hello ....

I'm Charlotte, currently our company is looking for online survey providers and YouTube subscribers.

It is very easy ,you just have to answer two survey tasks and subscribe to a Youtube channel, once you complete you will earn 30SGD . It's takes 3-5minutes. Other members make this surveys from 30-500SGD per day.
If you want to try it , please reply with (Ok)


Please be careful and don't respond to these job ads!",Name: Charlotte,Contact:,
Anonymous , 04 Sep 2023,Phishing Scam,"I received an SMS today about the enrollment for the ongoing Healthier SG program. The SMS was sent from a HP number, and not from MOH. When I clicked on the link in the SMS, I was led to a WhatsApp chat with ""Healthhub"".

During the chat with the other party over WhatsApp, I was asked to download a healthhub.apk file, which is a malware.

Editor's Note: Please note that the Sender ID for SMSes on Healthier SG will be shown as ""MOH"". They will address you by your name and the last four digits of your I/C will also be reflected in the SMS.

For more info on how the real SMS will look like, click here: https://ask.gov.sg/healthiersg/questions/clkrnuwrj000ul40g7b7yu4je?from=topics","Name: ""MOH""",Contact:,
Anonymous , 31 Aug 2023,Job Scam,"Matched on BUMBle, a scammer informed me about a part-time job involving LV SALES Merchandise processing. They subsequently requested my assistance due to their exhaustion and asked for step-by-step instructions.
Please note the LV customer care number: +6584160155. Part of the process involves transferring funds to an SCB Account under the name of Anthony Tan, with the account number 012770????and payment reference number 8545????.",Name: ADRIANNE on Bumble,Contact: 81956739,
Anonymous , 29 Aug 2023,Impersonation Scam,"I received a call from an unfamiliar number (84167975) this evening around 8.45 pm. I hesitated but ultimately decided to answer since it wasn't a +65 number. A Chinese man addressed me by my name and spoke in a friendly manner. However, before we could proceed, I inquired about his identity. He responded with, ""You don't know meh?"" I insisted that he reveal his identity before we continued our conversation. He retorted, ""You can go report to the police lor,"" and then abruptly ended the call. I promptly blocked his number.

Later, I recollected receiving a call months ago that resembled this encounter. During that prior call, an individual claimed to be my brother's tenant. He stated that he had lost his phone and needed assistance updating his POSB records online. He requested a WhatsApp screenshot, which he then updated. Subsequently, he explained that he couldn't use PayNow to pay his Malaysian supplier due to a two-day bank processing time, which his supplier wouldn't wait for. He mentioned a colleague's bank limit of $1,000 and provided his supplier's phone number. He asked me to pay $2,000 or $3,000 upfront, promising reimbursement in two days. He even sent a screenshot of a bank account with a substantial balance but without his name. I messaged him that I couldn't assist, after which he attempted to call me, but I didn't answer.

I wonder if these two calls are from the same person.",Name: Not known,Contact: 84167975,
Anonymous , 29 Aug 2023,Impersonation Scam,"Claimed to be my friend and just changed his number and has not been in touch for very long time.

The usual the Fake Friend Call scam. Hung up the phone. ",Name: Unknown as he says hes a friend,Contact: 86448721,
Anonymous , 28 Aug 2023,Job Scam,"In April and May, I was actively applying for jobs on Indeed and JobStreet. During that time, I received a call from Laura Wang, an overseas recruiter from Indeed, offering a part-time position. Another individual named Sally, who posed as a local contact but was actually operating from overseas, reached out to me through a fake job website. This website claimed to offer remote work from home, involving daily tasks and commissions. Unfortunately, I didn't recognize the warning signs due to my lack of exposure to scam news, and I was quite naive.

These events unfolded around May 28th. Both Laura Wang and Sally contacted me about a flexible part-time job, bypassing formal interviews or workplace requirements. Sally persisted in contacting me until May 31st.

Between June 1st and 8th, I made transfers to various local bank accounts as instructed by Sally, including falling victim to a loan scam.

In total, I lost $22,920 through multiple transfers before realizing my mistake. It was only then that I reported the incident to the police station.",Name: Sally from factset,Contact: 85423658,
Anonymous , 27 Aug 2023,Impersonation Scam,"A scammer knew my first name and attempted to make me guess their own name. I firmly reprimanded and scolded them until they disconnected. After a few months, they called again with the same ploy. They were scolded by me once more, and this time they responded with verbal abuse before disconnecting. Be cautious: genuine friends who call will readily share their name, rather than asking you to guess it.",Name: Try to act as my friend,Contact: 92431875,
Anonymous , 26 Aug 2023,Investment Scam,"I matched with Phang Jun Hao on the OKC dating app. We chatted before moving to Telegram. He claimed to be Malaysian, staying at Hillion Residences in Singapore, and working as a Marketing/Sales Manager in Tai Seng. After a few days, he said he had to go to Kuching due to his grandmother's hospitalization. He was gone for 2 weeks, and we often voice-called on Telegram.

While abroad, he mentioned equity funding with ""Uncle Chen"" from Guoco/real estate, involving a property in Choa Chu Kang, Heart @ CCK. He asked for photos of the site, and I sent them. He then insisted that Uncle Chen was providing a quota for me, pushing me to register despite my discomfort. He grew hostile when I declined, even recording a harsh message. He asked me to harm myself.

We aren't officially in a relationship and haven't met. This situation escalated and turned aggressive, making me uncomfortable and concerned when I didn't want to release my personal information.",Name: phang jun hao,Contact:,
Anonymous , 25 Aug 2023,Impersonation Scam,"The caller contacted me, stating my name and informing me of a number change. I inquired about his identity, but he insisted I should recognize him despite the number change. Unfortunately, I couldn't identify his voice. Despite my repeated requests for his name, he refused to share it. When I suggested he had dialed the wrong number, he promptly hung up.",Name: Not given,Contact: 81966117,
Anonymous , 25 Aug 2023,Job Scam,"I was contacted by a girl named Jiayi from Malacca on Facebook, who claimed to love me. I never saw her or heard her voice. On the third day, she asked for help with her side job, marketing for Cartier.

The steps were simple:

    Contact Cartier at +65 8175 8641.
    Take a screenshot and send it.
    Make payment only through PayNow.
    Receive commission and a refund.
    Send proof.

The first time, I paid $108 and received $124. When I asked for proof of her contract, she refused and then ghosted me. It wasted my time seeking a partner, but I still earned from the scammer at least. :P

I fact-checked with Cartier's official website afterward to avoid falling prey. Always double-check!",Name: liu jia yi - cartier,Contact:,
Anonymous , 24 Aug 2023,Impersonation Scam,"Received an automated voice call for credit card transaction amounted to $4K. Pressed ""1"" to speak to the operator. The person on the other line asked for my name, I provided a fake name for him to run the check. He came back within a few seconds, claiming that there was a $4k charged to my metro Visa card applied at a Tampines branch in June 2023. I told him I don't have this card and hung up.",Name: UOB,Contact: 62884568596,
Anonymous , 23 Aug 2023,Job Scam,"I was approached by an unnamed individual through a website promising easy commissions. The job's credibility was supposedly backed by various Singaporean media outlets. The person detailed the job via WhatsApp and had me practice on her account to understand how to earn commissions (by clicking and submitting product reviews). To access commissions, I needed to create an account and complete 40 ""missions."" Upon completing these missions, I not only recovered my initial investment but also made some profit, despite having to add more funds due to alleged negative balances.

By the second day, the negative balances had accumulated into thousands, and I could no longer transfer money. This led to a loss of over $20K. I reached out to the scammer and the site's purported customer service. Both suggested I deceive the bank, which had responsibly flagged my suspicious transactions and warned me about the scam.

Subsequently, I discovered that the original site URL had changed. When I inquired why is that so, the lady explained that they had partnered with another company, prompting the link change.

Please be cautious of this scam.",Name: joomgroup / dotdigital group,Contact: 98851014,
Anonymous , 23 Aug 2023,Phishing Scam,"Received a WhatsApp message mentioning that payment had been deducted for parking. This shouldn't occur, as there's no way a parking operator would have my number.",Name: Metro parking,Contact: 97373237,
Anonymous , 23 Aug 2023,Online Purchase Scam,"The scammer has been active in the Sunset Way Clementi and Casa Clementi Facebook groups, claiming to have four Taylor Swift concert tickets for sale since August 14, 2023.

""I have 4 Taylor Swift tickets for the Saturday concert on March 02, 6:30 pm, at Singapore National Stadium. Location: 1 Stadium Drive, Singapore. Please message me if interested. Category: CAT 1. Section 112, Row S, Seats 18-21.""

After initial correspondence, he revealed that he's in California and selling the tickets due to his absence in Singapore during that time. He requested the Ticket Master name and email for ticket transfer. He provided banking details and a PayNow number. The non-Singaporean number is offline for WhatsApp.

Tel: 815974??

When I asked for his contact number, he provided an invalid landline number: 06566714756.

Please exercise caution.",Name: Angel Alvarado,Contact: 81597485,
Anonymous , 22 Aug 2023,Investment Scam,"A few weeks ago, Tim contacted me on Facebook with the intention of becoming friends. Our conversation shifted to Telegram. After chatting for a while, he requested a favor – assistance in accessing his trading investment account on www.ezagvip.com for a cryptocurrency transaction. Following this transaction, he boasted about a 10% profit and championed the idea that using money to earn money was the smartest choice.

As I helped him succeed in this transaction, he invited me to join the investment platform. I agreed and completed the registration process, including uploading my identification documents. Tim guided me through my initial trade, resulting in a 10% profit, which the platform's customer service transferred to my bank account.

Tim repeatedly encouraged me to raise my investment, promising favorable returns in what he described as scarce money-making opportunities. Starting with an initial SGD 1,000, I increased my balance fivefold through platform and e-wallet transfers. Despite doubts, I increased it further, influenced by my success in three trades during that period.

When Tim urged me to double the balance for an impending ""big trading transaction,"" pressure mounted. Deciding to withdraw everything, I faced difficulties transferring to my e-wallet. The platform's customer service informed me of a frozen account due to suspected money laundering detected by their trading system. To unfreeze it, they insisted on an equivalent deposit, which I made in fear.

Thereafter, customer service announced an investigation, threatening account cancellation within 72 hours. Realizing the situation, I cut ties with the platform and ceased further investments. Tim disappeared from my life, another casualty of a deceitful scheme.

To this day, Tim's Facebook and Instagram accounts (@oyt19891? / @oytian77?) remain active.",Name: tim oy / @oyt19891? and @oytian77? / www.ezagvip.com,Contact: 6588771497,
Anonymous , 22 Aug 2023,Investment Scam,"About a month ago, a girl I met on the online dating app Tantan introduced me to a network that initially appeared to be a genuine marketplace platform. It allowed users to set up shops and curate items for sale. When orders were placed, the process involved funding your store wallet with USDT before fulfilling the order. After shipping, earnings were deposited into the wallet. However, instead of allowing withdrawals, the platform required frequent recharging to manage incoming orders.

Initially, orders were small, but they grew in scale, demanding more substantial funds. The situation became clearer when attempting to close the store and halt order processing. The closing procedure mandated injecting additional funds, supposedly to settle issues like restoring a lowered store rating to 100. Ultimately, the platform demanded payment for sales and profit taxes, an amount three times higher than the actual profit from the goods.

These steps were executed incrementally, preventing early detection and intervention. During this process, withdrawing the initially deposited funds was prohibited until compliance with the platform's demands. The girl who introduced me, posing as a successful store owner, guided these actions and insisted on following instructions from the customer service team.

Unfortunately, the registration link she provided is no longer accessible, as I discovered when I attempted to access it again.",Name: Thomasgis.com,Contact: 6589363537,
Anonymous , 21 Aug 2023,Impersonation Scam,A guy with Malaysian accent called claim to be my friend asking me to guess who he is. Refused to tell me and asked me to keep guessing. So I hung up.,Name: 81774352,Contact:,
Anonymous , 20 Aug 2023,Internet Love Scam,"Met a man named Jackson on Facebook Dating, a Malaysian PR from Pahang. He claimed to seek a life partner and thought we were compatible. Jackson presented himself as an environmental engineer turned project manager focused on solar panels. Our communication mainly took place in Mandarin. He mentioned staying in a condo at Bukit Timah and owning a car. He referenced a close friend, Chris, who is a Sea Limited boss.
Midweek, Jackson abruptly said his grandmother fell and he rushed to KL. While waiting for updates on his grandmother's condition, he urgently asked me to photograph an ongoing HDB development in Toa Payoh. I complied and sent the pictures. He claimed these helped him secure a $500k high-yield investment by Sea Limited, with Chris inviting me to join.
Next, he provided me an invitation ID for a Sea Limited-backed platform. I input personal details, including my legal name, FIN number, bank info, and created login credentials. Jackson assured me this was legitimate, showing platform details and certifications. He convinced me to invest $3,000, and oddly, I had to request banking instructions via chat to deposit the money into a private account for ""security reasons."" When I hesitated, he pushed and promised repayment if things went awry. I invested, he said I could withdraw within 24 hours, and I later found a similar scam story on an alert platform.
Though concerned, I continued to play along until I retrieved my funds, changed PINs and IDs, including bank details. I reported the incident to the police, reported his Facebook account, and blocked him. Please stay cautious.",Name: Jackson,Contact: 82123975,
